127.0.0.1 - - [16/Mar/2023:12:57:57 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [16/Mar/2023:12:57:59 +0530] "GET /project_3/ HTTP/1.1" 200 740
0:0:0:0:0:0:0:1 - - [16/Mar/2023:12:57:59 +0530] "GET /project_3/img/index8.avif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2023:13:28:25 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3778
0:0:0:0:0:0:0:1 - - [16/Mar/2023:13:28:25 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [16/Mar/2023:13:28:29 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7171
0:0:0:0:0:0:0:1 - - [16/Mar/2023:13:31:58 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7170
0:0:0:0:0:0:0:1 - - [16/Mar/2023:13:32:16 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7171
0:0:0:0:0:0:0:1 - - [16/Mar/2023:13:32:39 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7171
0:0:0:0:0:0:0:1 - - [16/Mar/2023:13:36:07 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7194
0:0:0:0:0:0:0:1 - - [16/Mar/2023:13:36:39 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7171
0:0:0:0:0:0:0:1 - - [16/Mar/2023:13:37:28 +0530] "GET /project_3/UserRegistrationCtl HTTP/1.1" 200 11672
0:0:0:0:0:0:0:1 - - [16/Mar/2023:13:37:29 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [16/Mar/2023:13:37:29 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [16/Mar/2023:13:38:00 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [16/Mar/2023:13:38:09 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3778
0:0:0:0:0:0:0:1 - - [16/Mar/2023:13:38:09 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [16/Mar/2023:13:38:18 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7171
0:0:0:0:0:0:0:1 - - [16/Mar/2023:13:38:20 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3778
0:0:0:0:0:0:0:1 - - [16/Mar/2023:13:38:20 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [16/Mar/2023:13:38:21 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3778
0:0:0:0:0:0:0:1 - - [16/Mar/2023:13:38:21 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [16/Mar/2023:13:38:31 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7171
0:0:0:0:0:0:0:1 - - [16/Mar/2023:13:40:35 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Mar/2023:13:40:35 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9862
0:0:0:0:0:0:0:1 - - [16/Mar/2023:13:40:35 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [16/Mar/2023:13:46:47 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 18257
0:0:0:0:0:0:0:1 - - [16/Mar/2023:13:46:47 +0530] "GET /project_3/js/CheckBox11.js HTTP/1.1" 200 612
0:0:0:0:0:0:0:1 - - [16/Mar/2023:13:46:47 +0530] "GET /project_3/js/jquery.min.js HTTP/1.1" 200 95935
0:0:0:0:0:0:0:1 - - [16/Mar/2023:13:46:47 +0530] "GET /project_3/img/129.jpg HTTP/1.1" 200 327848
0:0:0:0:0:0:0:1 - - [16/Mar/2023:13:49:47 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 18246
0:0:0:0:0:0:0:1 - - [16/Mar/2023:13:50:04 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 18260
0:0:0:0:0:0:0:1 - - [16/Mar/2023:13:50:20 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 18260
0:0:0:0:0:0:0:1 - - [16/Mar/2023:13:51:46 +0530] "GET /project_3/ctl/UserCtl?id=3 HTTP/1.1" 200 17072
0:0:0:0:0:0:0:1 - - [16/Mar/2023:13:51:47 +0530] "GET /project_3/img/whit2.jpg HTTP/1.1" 200 311958
0:0:0:0:0:0:0:1 - - [16/Mar/2023:13:51:47 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
