127.0.0.1 - - [23/Mar/2023:23:11:30 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [23/Mar/2023:23:11:32 +0530] "GET /project_3/ HTTP/1.1" 200 765
0:0:0:0:0:0:0:1 - - [23/Mar/2023:23:11:32 +0530] "GET /project_3/img/pexels-mikael-blomkvist-6476588.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2023:23:11:32 +0530] "GET /project_3/img/custom.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2023:23:11:48 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3818
0:0:0:0:0:0:0:1 - - [23/Mar/2023:23:11:48 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [23/Mar/2023:23:11:48 +0530] "GET /project_3/img/aakash.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2023:23:11:55 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7192
0:0:0:0:0:0:0:1 - - [23/Mar/2023:23:11:55 +0530] "GET /project_3/img/login1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2023:23:12:22 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Mar/2023:23:12:22 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9902
0:0:0:0:0:0:0:1 - - [23/Mar/2023:23:12:22 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [23/Mar/2023:23:12:48 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 18281
0:0:0:0:0:0:0:1 - - [23/Mar/2023:23:12:48 +0530] "GET /project_3/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2023:23:12:48 +0530] "GET /project_3/js/CheckBox11.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2023:23:12:48 +0530] "GET /project_3/img/129.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2023:23:13:59 +0530] "GET /project_3/ForgetPasswordCtl HTTP/1.1" 200 11802
0:0:0:0:0:0:0:1 - - [23/Mar/2023:23:13:59 +0530] "GET /project_3/img/email.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2023:23:14:03 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Mar/2023:23:14:04 +0530] "GET /project_3/UserRegistrationCtl HTTP/1.1" 200 17765
0:0:0:0:0:0:0:1 - - [23/Mar/2023:23:14:04 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [23/Mar/2023:23:14:04 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [23/Mar/2023:23:14:04 +0530] "GET /project_3/img/wall.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2023:23:14:21 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9902
0:0:0:0:0:0:0:1 - - [23/Mar/2023:23:14:21 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [23/Mar/2023:23:14:29 +0530] "GET /project_3/LoginCtl?operation=logout HTTP/1.1" 200 7407
0:0:0:0:0:0:0:1 - - [23/Mar/2023:23:17:41 +0530] "GET /project_3/ HTTP/1.1" 200 765
0:0:0:0:0:0:0:1 - - [23/Mar/2023:23:17:55 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3818
0:0:0:0:0:0:0:1 - - [23/Mar/2023:23:17:55 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [23/Mar/2023:23:18:00 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7192
0:0:0:0:0:0:0:1 - - [23/Mar/2023:23:18:04 +0530] "GET /project_3/ForgetPasswordCtl HTTP/1.1" 200 5718
0:0:0:0:0:0:0:1 - - [23/Mar/2023:23:18:11 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3818
0:0:0:0:0:0:0:1 - - [23/Mar/2023:23:18:11 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [23/Mar/2023:23:18:22 +0530] "GET /project_3/UserRegistrationCtl HTTP/1.1" 200 11693
0:0:0:0:0:0:0:1 - - [23/Mar/2023:23:18:22 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [23/Mar/2023:23:18:22 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
